"Make","Model","Price","Mileage"
"FORD","FIESTA",9000,8767
"FORD","FIESTA",6500,21009
"FORD","FIESTA",6495,38622
"FORD","FIESTA",6990,16808
"FORD","FIESTA",8650,8934
"FORD","FIESTA",7950,10860
"FORD","FIESTA",6400,18000
"FORD","FIESTA",7200,8124
"FORD","FIESTA",8495,11524
"FORD","FIESTA",6590,34021
"FORD","FIESTA",7490,5411
"FORD","FIESTA",8299,11215
"FORD","FIESTA",6998,22233
"FORD","FIESTA",7399,7014
"FORD","FIESTA",7377,4867
"FORD","FIESTA",6995,27834
"FORD","FIESTA",8500,6142
"FORD","FIESTA",6700,16266
"FORD","FIESTA",8000,22000
"FORD","FIESTA",8495,6683
"FORD","FIESTA",7199,24839
"FORD","FIESTA",5980,26000
"FORD","FIESTA",5900,46000
"FORD","FIESTA",7088,16245
"FORD","FIESTA",6595,14860
"FORD","FIESTA",6338,41596
"FORD","FIESTA",7995,13800
"FORD","FIESTA",8700,7136
"FORD","FIESTA",6498,7119
"FORD","FIESTA",7291,4934
"FORD","FIESTA",9295,11244
"FORD","FIESTA",6995,19173
"FORD","FIESTA",6960,11690
"FORD","FIESTA",8800,8792
"FORD","FIESTA",9950,900
"FORD","FIESTA",8197,9311
"FORD","FIESTA",8000,13000
"FORD","FIESTA",6765,20891
"FORD","FIESTA",6995,21000
"FORD","FIESTA",5995,30841
"FORD","FIESTA",9000,8920
"FORD","FIESTA",8000,9577
"FORD","FIESTA",7299,17584
"FORD","FIESTA",8000,4623
"FORD","FIESTA",8299,12569
"FORD","FIESTA",6950,11000
"FORD","FIESTA",7221,24731
"FORD","FIESTA",9000,5937
"FORD","FIESTA",8599,7375
"FORD","FIESTA",6848,6100
"FORD","FIESTA",6850,30000
"FORD","FIESTA",7995,5310
"FORD","FIESTA",7450,20036
"FORD","FIESTA",8500,7166
"FORD","FIESTA",6000,35594
"FORD","FIESTA",7699,20076
"FORD","FIESTA",7799,15468
"FORD","FIESTA",7000,11472
"FORD","FIESTA",7750,11814
"FORD","FIESTA",8500,8669
"FORD","FIESTA",6999,30040
"FORD","FIESTA",10600,10
"FORD","FIESTA",8500,7676
"FORD","FIESTA",10500,10
"FORD","FIESTA",8999,7893
"FORD","FIESTA",8695,8000
"FORD","FIESTA",7827,9044
"FORD","FIESTA",8350,11761
"FORD","FIESTA",8000,15000
"FORD","FIESTA",8995,21841
"FORD","FIESTA",8200,6513
"FORD","FIESTA",6995,28311
"FORD","FIESTA",7000,14509
"FORD","FIESTA",8799,8963
"FORD","FIESTA",7000,17664
"FORD","FIESTA",7481,8650
"FORD","FIESTA",7000,24728
"FORD","FIESTA",7995,24236
"FORD","FIESTA",8370,1895
"FORD","FIESTA",5500,36719
"FORD","FIESTA",8999,4842
"FORD","FIESTA",8400,8427
"FORD","FIESTA",11000,4998
"FORD","FIESTA",6311,8954
"FORD","FIESTA",7000,24713
"FORD","FIESTA",6800,37212
"FORD","FIESTA",7895,12791
"FORD","FIESTA",7999,3555
"FORD","FIESTA",7995,5613
"FORD","FIESTA",8200,5695
"FORD","FIESTA",7999,16727
"FORD","FIESTA",9795,12500
"FORD","FIESTA",8000,4200
"FORD","FIESTA",6995,19755
"FORD","FIESTA",7995,7985
"FORD","FIESTA",7995,10260
"FORD","FIESTA",6500,43901
"FORD","FIESTA",6992,17328
"FORD","FIESTA",8495,8719
"FORD","FIESTA",6990,5294
"FORD","FIESTA",7328,27668
"FORD","FIESTA",6197,17348
"FORD","FIESTA",8600,6338
"FORD","FIESTA",7300,11571
"FORD","FIESTA",7300,14942
"FORD","FIESTA",7290,11698
"FORD","FIESTA",8950,8989
"FORD","FIESTA",8000,13707
"FORD","FIESTA",7899,7534
"FORD","FIESTA",8995,9545
"FORD","FIESTA",7999,16249
"FORD","FIESTA",5895,40000
"FORD","FIESTA",9490,6353
"FORD","FIESTA",7199,22000
"FORD","FIESTA",7995,16179
"FORD","FIESTA",10095,5500
"FORD","FIESTA",7695,19073
"FORD","FIESTA",8599,7500
"FORD","FIESTA",7599,19782
"FORD","FIESTA",7848,12914
"FORD","FIESTA",11495,10
"FORD","FIESTA",7995,12633
"FORD","FIESTA",7299,6663
"FORD","FIESTA",7790,14622
"FORD","FIESTA",9490,17
"FORD","FIESTA",8599,8156
"FORD","FIESTA",6390,15900
"FORD","FIESTA",6585,23289
"FORD","FIESTA",8500,10148
"FORD","FIESTA",8500,11078
"FORD","FIESTA",10000,8000
"FORD","FIESTA",8000,14854
"FORD","FIESTA",7391,27452
"FORD","FIESTA",6248,35094
"FORD","FIESTA",9570,5027
"FORD","FIESTA",8290,12000
"FORD","FIESTA",6491,29000
"FORD","FIESTA",6990,19000
"FORD","FIESTA",7000,6277
"FORD","FIESTA",7675,11939
"FORD","FIESTA",6695,29000
"FORD","FIESTA",8300,7699
"FORD","FIESTA",9090,2144
"FORD","FIESTA",6000,31018
"FORD","FIESTA",6699,23914
"FORD","FIESTA",7791,23570
"FORD","FIESTA",7999,16052
"FORD","FIESTA",7448,12360
"FORD","FIESTA",7075,4714
"FORD","FIESTA",6500,39000
"FORD","FIESTA",7499,22893
"FORD","FIESTA",7300,14416
"FORD","FIESTA",8750,10454
"FORD","FIESTA",7299,29245
"FORD","FIESTA",6970,34575
"FORD","FIESTA",7995,2140
"FORD","FIESTA",6391,8111
"FORD","FIESTA",8200,7753
